task_id,status,person_id,image_id,split,image_path,suggested_family,suggested_category,suggested_occasion,suggested_formality,suggested_aesthetic_tags,suggested_color_mood,suggested_layering,corrected_family,corrected_category,corrected_occasion,corrected_formality,corrected_aesthetic_tags,corrected_color_mood,corrected_layering,quality_status,notes
style_label_00011,pending,p_9e3ce1caae7c,p_9e3ce1caae7c_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_9e3ce1caae7c_01.jpg,top,sweater,casual,casual,soft|casual_basic,neutral,single_layer,,,,,,,,usable,
style_label_00012,pending,p_928c61ca6e70,p_928c61ca6e70_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_928c61ca6e70_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,,,,,,,,usable,
style_label_00013,pending,p_6cbaf402583a,p_6cbaf402583a_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_6cbaf402583a_01.jpg,bottom,trousers,casual,casual,classic|minimal,colorful,single_layer,,,,,,,,usable,
style_label_00014,pending,p_2611f4bc647e,p_2611f4bc647e_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_2611f4bc647e_01.jpg,top,blouse,casual,casual,classic|minimal,colorful,single_layer,,,,,,,,usable,
style_label_00015,pending,p_dc3414a88dd9,p_dc3414a88dd9_02,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_dc3414a88dd9_02.jpg,top,cardigan,casual,casual,soft|casual_basic,neutral,light_layering,,,,,,,,usable,
style_label_00016,pending,p_7f497448f14b,p_7f497448f14b_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_7f497448f14b_01.jpg,outerwear,coat,casual,casual,casual_basic,unknown,light_layering,,,,,,,,usable,
style_label_00017,pending,p_dacb5c4669f8,p_dacb5c4669f8_02,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_dacb5c4669f8_02.jpg,outerwear,denim_jacket,casual,casual,casual_basic,unknown,light_layering,,,,,,,,usable,
style_label_00018,pending,p_cfc26c365a58,p_cfc26c365a58_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_cfc26c365a58_01.jpg,top,hoodie,casual,casual,casual_basic|streetwear,neutral,single_layer,,,,,,,,usable,
style_label_00019,pending,p_443e4d258e26,p_443e4d258e26_02,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_443e4d258e26_02.jpg,outerwear,leather_jacket,casual,casual,casual_basic,neutral,light_layering,,,,,,,,usable,
style_label_00020,pending,p_1db0c52ffa18,p_1db0c52ffa18_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_1db0c52ffa18_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,,,,,,,,usable,
style_label_00021,pending,p_19b25eb45a70,p_19b25eb45a70_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_19b25eb45a70_01.jpg,dress_jumpsuit,romper,casual,casual,classic|romantic,colorful,single_layer,,,,,,,,usable,
style_label_00022,pending,p_314a9c804037,p_314a9c804037_02,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_314a9c804037_02.jpg,bottom,shorts,casual,casual,casual_basic,colorful,single_layer,,,,,,,,usable,
style_label_00023,pending,p_117954542990,p_117954542990_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_117954542990_01.jpg,bottom,skirt,casual,casual,casual_basic,neutral,single_layer,,,,,,,,usable,
style_label_00024,pending,p_3c6c5f66e44f,p_3c6c5f66e44f_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_3c6c5f66e44f_01.jpg,top,sweater,casual,casual,soft|casual_basic,neutral,single_layer,,,,,,,,usable,
style_label_00025,pending,p_4cb46201d523,p_4cb46201d523_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_4cb46201d523_01.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,,,,,,,,usable,
style_label_00026,pending,p_6cbaf402583a,p_6cbaf402583a_02,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_6cbaf402583a_02.jpg,bottom,trousers,casual,casual,classic|minimal,colorful,single_layer,,,,,,,,usable,
style_label_00027,pending,p_9fc07204fcdf,p_9fc07204fcdf_02,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_9fc07204fcdf_02.jpg,top,blouse,casual,casual,classic|minimal,unknown,single_layer,,,,,,,,usable,
style_label_00028,pending,p_b5191067f36e,p_b5191067f36e_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_b5191067f36e_01.jpg,top,cardigan,casual,casual,soft|casual_basic,neutral,light_layering,,,,,,,,usable,
style_label_00029,pending,p_981916b97166,p_981916b97166_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_981916b97166_01.jpg,outerwear,coat,casual,casual,casual_basic,colorful,light_layering,,,,,,,,usable,
style_label_00030,pending,p_dacb5c4669f8,p_dacb5c4669f8_03,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_dacb5c4669f8_03.jpg,outerwear,denim_jacket,casual,casual,casual_basic,unknown,light_layering,,,,,,,,usable,
style_label_00031,pending,p_454b75dea71e,p_454b75dea71e_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_454b75dea71e_01.jpg,top,hoodie,casual,casual,casual_basic|streetwear,unknown,single_layer,,,,,,,,usable,
style_label_00032,pending,p_d3a376fd8616,p_d3a376fd8616_04,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_d3a376fd8616_04.jpg,outerwear,leather_jacket,casual,casual,casual_basic,unknown,light_layering,,,,,,,,usable,
style_label_00033,pending,p_c56e715e340a,p_c56e715e340a_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_c56e715e340a_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,,,,,,,,usable,
style_label_00034,pending,p_19b25eb45a70,p_19b25eb45a70_02,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_19b25eb45a70_02.jpg,dress_jumpsuit,romper,casual,casual,classic|romantic,unknown,single_layer,,,,,,,,usable,
style_label_00035,pending,p_459dbf92780c,p_459dbf92780c_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_459dbf92780c_01.jpg,bottom,shorts,casual,casual,casual_basic,colorful,single_layer,,,,,,,,usable,
style_label_00036,pending,p_720a91197642,p_720a91197642_02,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_720a91197642_02.jpg,bottom,skirt,casual,casual,casual_basic,colorful,single_layer,,,,,,,,usable,
style_label_00037,pending,p_f45a91d07673,p_f45a91d07673_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_f45a91d07673_01.jpg,top,sweater,casual,casual,soft|casual_basic,colorful,single_layer,,,,,,,,usable,
style_label_00038,pending,p_154cc4accc64,p_154cc4accc64_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_154cc4accc64_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,,,,,,,,usable,
style_label_00039,pending,p_6cbaf402583a,p_6cbaf402583a_03,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_6cbaf402583a_03.jpg,bottom,trousers,casual,casual,classic|minimal,colorful,single_layer,,,,,,,,usable,
style_label_00040,pending,p_62638266216c,p_62638266216c_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_62638266216c_01.jpg,top,blouse,casual,casual,classic|minimal,neutral,single_layer,,,,,,,,usable,
style_label_00041,pending,p_dc3414a88dd9,p_dc3414a88dd9_03,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_dc3414a88dd9_03.jpg,top,cardigan,casual,casual,soft|casual_basic,colorful,light_layering,,,,,,,,usable,
style_label_00042,pending,p_6a9675405ef5,p_6a9675405ef5_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_6a9675405ef5_01.jpg,outerwear,coat,casual,casual,casual_basic,neutral,light_layering,,,,,,,,usable,
style_label_00043,pending,p_dacb5c4669f8,p_dacb5c4669f8_04,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_dacb5c4669f8_04.jpg,outerwear,denim_jacket,casual,casual,casual_basic,unknown,light_layering,,,,,,,,usable,
style_label_00044,pending,p_e80978383fad,p_e80978383fad_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_e80978383fad_01.jpg,top,hoodie,casual,casual,casual_basic|streetwear,colorful,single_layer,,,,,,,,usable,
style_label_00045,pending,p_d3a376fd8616,p_d3a376fd8616_05,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_d3a376fd8616_05.jpg,outerwear,leather_jacket,casual,casual,casual_basic,unknown,light_layering,,,,,,,,usable,
style_label_00046,pending,p_7e177ef49f6a,p_7e177ef49f6a_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_7e177ef49f6a_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,,,,,,,,usable,
style_label_00047,pending,p_eda5f4d86df0,p_eda5f4d86df0_02,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_eda5f4d86df0_02.jpg,dress_jumpsuit,romper,casual,casual,classic|romantic,unknown,single_layer,,,,,,,,usable,
style_label_00048,pending,p_0858d7f4334b,p_0858d7f4334b_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_0858d7f4334b_01.jpg,bottom,shorts,casual,casual,casual_basic,neutral,single_layer,,,,,,,,usable,
style_label_00049,pending,p_9fbebd3b1ff8,p_9fbebd3b1ff8_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_9fbebd3b1ff8_01.jpg,bottom,skirt,casual,casual,casual_basic,neutral,single_layer,,,,,,,,usable,
style_label_00050,pending,p_cb2e5d3c9a3c,p_cb2e5d3c9a3c_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_cb2e5d3c9a3c_01.jpg,top,sweater,casual,casual,soft|casual_basic,unknown,single_layer,,,,,,,,usable,
style_label_00051,pending,p_5e2e762e7ba4,p_5e2e762e7ba4_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_5e2e762e7ba4_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,,,,,,,,usable,
style_label_00052,pending,p_6cbaf402583a,p_6cbaf402583a_04,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_6cbaf402583a_04.jpg,bottom,trousers,casual,casual,classic|minimal,colorful,single_layer,,,,,,,,usable,
style_label_00053,pending,p_9978c1992721,p_9978c1992721_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_9978c1992721_01.jpg,top,blouse,casual,casual,classic|minimal,neutral,single_layer,,,,,,,,usable,
style_label_00054,pending,p_dc3414a88dd9,p_dc3414a88dd9_04,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_dc3414a88dd9_04.jpg,top,cardigan,casual,casual,soft|casual_basic,neutral,light_layering,,,,,,,,usable,
style_label_00055,pending,p_54b35df57f95,p_54b35df57f95_02,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_54b35df57f95_02.jpg,outerwear,coat,casual,casual,casual_basic,colorful,light_layering,,,,,,,,usable,
style_label_00056,pending,p_dacb5c4669f8,p_dacb5c4669f8_05,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_dacb5c4669f8_05.jpg,outerwear,denim_jacket,casual,casual,casual_basic,unknown,light_layering,,,,,,,,usable,
style_label_00057,pending,p_0775fb8c816a,p_0775fb8c816a_02,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_0775fb8c816a_02.jpg,top,hoodie,casual,casual,casual_basic|streetwear,neutral,single_layer,,,,,,,,usable,
style_label_00058,pending,p_be0b362f44ff,p_be0b362f44ff_02,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_be0b362f44ff_02.jpg,outerwear,leather_jacket,casual,casual,casual_basic,colorful,light_layering,,,,,,,,usable,
style_label_00059,pending,p_a668974d4925,p_a668974d4925_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_a668974d4925_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,colorful,single_layer,,,,,,,,usable,
style_label_00060,pending,p_def286b5b875,p_def286b5b875_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_def286b5b875_01.jpg,dress_jumpsuit,romper,casual,casual,classic|romantic,unknown,single_layer,,,,,,,,usable,
style_label_00061,pending,p_cdee0381a0a2,p_cdee0381a0a2_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_cdee0381a0a2_01.jpg,bottom,shorts,casual,casual,casual_basic,colorful,single_layer,,,,,,,,usable,
style_label_00062,pending,p_6cd838a9a96e,p_6cd838a9a96e_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_6cd838a9a96e_01.jpg,bottom,skirt,casual,casual,casual_basic,unknown,single_layer,,,,,,,,usable,
style_label_00063,pending,p_ec5f6df7d06f,p_ec5f6df7d06f_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_ec5f6df7d06f_01.jpg,top,sweater,casual,casual,soft|casual_basic,colorful,single_layer,,,,,,,,usable,
style_label_00064,pending,p_1c9e0e37b954,p_1c9e0e37b954_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_1c9e0e37b954_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,,,,,,,,usable,
style_label_00065,pending,p_6cbaf402583a,p_6cbaf402583a_05,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_6cbaf402583a_05.jpg,bottom,trousers,casual,casual,classic|minimal,colorful,single_layer,,,,,,,,usable,
style_label_00066,pending,p_bebd9bd2844c,p_bebd9bd2844c_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_bebd9bd2844c_01.jpg,top,blouse,casual,casual,classic|minimal,neutral,single_layer,,,,,,,,usable,
style_label_00067,pending,p_2b8142e4aaf3,p_2b8142e4aaf3_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_2b8142e4aaf3_01.jpg,top,cardigan,casual,casual,soft|casual_basic,colorful,light_layering,,,,,,,,usable,
style_label_00068,pending,p_008e26c6806b,p_008e26c6806b_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_008e26c6806b_01.jpg,outerwear,coat,casual,casual,casual_basic,unknown,light_layering,,,,,,,,usable,
style_label_00069,pending,p_dacb5c4669f8,p_dacb5c4669f8_06,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_dacb5c4669f8_06.jpg,outerwear,denim_jacket,casual,casual,casual_basic,unknown,light_layering,,,,,,,,usable,
style_label_00070,pending,p_5cbdd849c636,p_5cbdd849c636_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_5cbdd849c636_01.jpg,top,hoodie,casual,casual,casual_basic|streetwear,colorful,single_layer,,,,,,,,usable,
style_label_00071,pending,p_9948d38b41aa,p_9948d38b41aa_02,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_9948d38b41aa_02.jpg,outerwear,leather_jacket,casual,casual,casual_basic,unknown,light_layering,,,,,,,,usable,
style_label_00072,pending,p_9a50369536c9,p_9a50369536c9_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_9a50369536c9_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,,,,,,,,usable,
style_label_00073,pending,p_a23e9f5aacda,p_a23e9f5aacda_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_a23e9f5aacda_01.jpg,dress_jumpsuit,romper,casual,casual,classic|romantic,neutral,single_layer,,,,,,,,usable,
style_label_00074,pending,p_314a9c804037,p_314a9c804037_03,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_314a9c804037_03.jpg,bottom,shorts,casual,casual,casual_basic,colorful,single_layer,,,,,,,,usable,
style_label_00075,pending,p_6cd838a9a96e,p_6cd838a9a96e_02,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_6cd838a9a96e_02.jpg,bottom,skirt,casual,casual,casual_basic,unknown,single_layer,,,,,,,,usable,
style_label_00076,pending,p_98e999fe2f3a,p_98e999fe2f3a_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_98e999fe2f3a_01.jpg,top,sweater,casual,casual,soft|casual_basic,neutral,single_layer,,,,,,,,usable,
style_label_00077,pending,p_ab3a88ef26ad,p_ab3a88ef26ad_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_ab3a88ef26ad_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,,,,,,,,usable,
style_label_00078,pending,p_6cbaf402583a,p_6cbaf402583a_06,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_6cbaf402583a_06.jpg,bottom,trousers,casual,casual,classic|minimal,colorful,single_layer,,,,,,,,usable,
style_label_00079,pending,p_039b66845108,p_039b66845108_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_039b66845108_01.jpg,top,blouse,casual,casual,classic|minimal,unknown,single_layer,,,,,,,,usable,
style_label_00080,pending,p_6e22029a7769,p_6e22029a7769_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_6e22029a7769_01.jpg,top,cardigan,casual,casual,soft|casual_basic,unknown,light_layering,,,,,,,,usable,
style_label_00081,pending,p_47948d2e11a2,p_47948d2e11a2_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_47948d2e11a2_01.jpg,outerwear,coat,casual,casual,casual_basic,colorful,light_layering,,,,,,,,usable,
style_label_00082,pending,p_dacb5c4669f8,p_dacb5c4669f8_07,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_dacb5c4669f8_07.jpg,outerwear,denim_jacket,casual,casual,casual_basic,unknown,light_layering,,,,,,,,usable,
style_label_00083,pending,p_cfc26c365a58,p_cfc26c365a58_02,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_cfc26c365a58_02.jpg,top,hoodie,casual,casual,casual_basic|streetwear,colorful,single_layer,,,,,,,,usable,
style_label_00084,pending,p_be0b362f44ff,p_be0b362f44ff_05,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_be0b362f44ff_05.jpg,outerwear,leather_jacket,casual,casual,casual_basic,colorful,light_layering,,,,,,,,usable,
style_label_00085,pending,p_903782b65086,p_903782b65086_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_903782b65086_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,,,,,,,,usable,
style_label_00086,pending,p_e586ac3a5344,p_e586ac3a5344_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_e586ac3a5344_01.jpg,dress_jumpsuit,romper,casual,casual,classic|romantic,neutral,single_layer,,,,,,,,usable,
style_label_00087,pending,p_421e2090e31c,p_421e2090e31c_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_421e2090e31c_01.jpg,bottom,shorts,casual,casual,casual_basic,neutral,single_layer,,,,,,,,usable,
style_label_00088,pending,p_720a91197642,p_720a91197642_03,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_720a91197642_03.jpg,bottom,skirt,casual,casual,casual_basic,colorful,single_layer,,,,,,,,usable,
style_label_00089,pending,p_1b2769d6f4b4,p_1b2769d6f4b4_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_1b2769d6f4b4_01.jpg,top,sweater,casual,casual,soft|casual_basic,neutral,single_layer,,,,,,,,usable,
style_label_00090,pending,p_ad0d2c104e0b,p_ad0d2c104e0b_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_ad0d2c104e0b_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,,,,,,,,usable,
style_label_00091,pending,p_6cbaf402583a,p_6cbaf402583a_07,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_6cbaf402583a_07.jpg,bottom,trousers,casual,casual,classic|minimal,colorful,single_layer,,,,,,,,usable,
style_label_00092,pending,p_78b56ccbebc4,p_78b56ccbebc4_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_78b56ccbebc4_01.jpg,top,blouse,casual,casual,classic|minimal,unknown,single_layer,,,,,,,,usable,
style_label_00093,pending,p_dc3414a88dd9,p_dc3414a88dd9_05,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_dc3414a88dd9_05.jpg,top,cardigan,casual,casual,soft|casual_basic,unknown,light_layering,,,,,,,,usable,
style_label_00094,pending,p_d3a376fd8616,p_d3a376fd8616_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_d3a376fd8616_01.jpg,outerwear,coat,casual,casual,casual_basic,neutral,light_layering,,,,,,,,usable,
style_label_00095,pending,p_dacb5c4669f8,p_dacb5c4669f8_08,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_dacb5c4669f8_08.jpg,outerwear,denim_jacket,casual,casual,casual_basic,unknown,light_layering,,,,,,,,usable,
style_label_00096,pending,p_5cbdd849c636,p_5cbdd849c636_02,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_5cbdd849c636_02.jpg,top,hoodie,casual,casual,casual_basic|streetwear,colorful,single_layer,,,,,,,,usable,
style_label_00097,pending,p_be0b362f44ff,p_be0b362f44ff_06,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_be0b362f44ff_06.jpg,outerwear,leather_jacket,casual,casual,casual_basic,colorful,light_layering,,,,,,,,usable,
style_label_00098,pending,p_8c2004dd7ede,p_8c2004dd7ede_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_8c2004dd7ede_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,,,,,,,,usable,
style_label_00099,pending,p_1bcb6ee0e7e6,p_1bcb6ee0e7e6_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_1bcb6ee0e7e6_01.jpg,dress_jumpsuit,romper,casual,casual,classic|romantic,unknown,single_layer,,,,,,,,usable,
style_label_00100,pending,p_cdee0381a0a2,p_cdee0381a0a2_02,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_cdee0381a0a2_02.jpg,bottom,shorts,casual,casual,casual_basic,neutral,single_layer,,,,,,,,usable,
