task_id,status,confidence,review_reason,person_id,image_id,split,redacted_image_uri,family,category,occasion,formality,aesthetic_tags,color_mood,layering,fit,silhouette,color_family,pattern,style_item_id
auto_style_000011,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_ad0d2c104e0b,p_ad0d2c104e0b_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_ad0d2c104e0b_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000012,auto_labeled,0.87,fit_unknown|silhouette_unknown,p_0775fb8c816a,p_0775fb8c816a_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_0775fb8c816a_01.jpg,top,hoodie,casual,casual,casual_basic|streetwear,neutral,single_layer,unknown,unknown,gray,solid,style_top|hoodie|casual|unknown|gray|casual_basic+streetwear
auto_style_000013,auto_labeled,0.77,color_mood_unknown|fit_unknown|silhouette_unknown,p_f09f91955808,p_f09f91955808_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_f09f91955808_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,unknown,unknown,yellow,solid,style_top|tank|casual|unknown|yellow|casual_basic
auto_style_000014,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_9fc07204fcdf,p_9fc07204fcdf_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_9fc07204fcdf_01.jpg,top,blouse,casual,casual,classic|minimal,neutral,single_layer,unknown,unknown,white,solid,style_top|blouse|casual|unknown|white|classic+minimal
auto_style_000015,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_ad0532796df2,p_ad0532796df2_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_ad0532796df2_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000016,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_2611f4bc647e,p_2611f4bc647e_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_2611f4bc647e_01.jpg,top,blouse,casual,casual,classic|minimal,colorful,single_layer,unknown,unknown,multi,solid,style_top|blouse|casual|unknown|multi|classic+minimal
auto_style_000017,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_6261af5b0e16,p_6261af5b0e16_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_6261af5b0e16_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000018,auto_labeled,0.77,color_mood_unknown|fit_unknown|silhouette_unknown,p_9fc07204fcdf,p_9fc07204fcdf_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_9fc07204fcdf_02.jpg,top,blouse,casual,casual,classic|minimal,unknown,single_layer,unknown,unknown,pink,solid,style_top|blouse|casual|unknown|pink|classic+minimal
auto_style_000019,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_1db0c52ffa18,p_1db0c52ffa18_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_1db0c52ffa18_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,unknown,unknown,black,solid,style_dress_jumpsuit|midi_dress|casual|unknown|black|classic+romantic
auto_style_000020,auto_labeled,0.87,fit_unknown|silhouette_unknown,p_dc3414a88dd9,p_dc3414a88dd9_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_dc3414a88dd9_01.jpg,top,cardigan,casual,casual,casual_basic|soft,colorful,light_layering,unknown,unknown,multi,solid,style_top|cardigan|casual|unknown|multi|casual_basic+soft
auto_style_000021,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_5048536ac78e,p_5048536ac78e_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_5048536ac78e_01.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,unknown,unknown,white,solid,style_top|tank|casual|unknown|white|casual_basic
auto_style_000022,auto_labeled,0.87,fit_unknown|silhouette_unknown,p_dc3414a88dd9,p_dc3414a88dd9_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_dc3414a88dd9_02.jpg,top,cardigan,casual,casual,casual_basic|soft,neutral,light_layering,unknown,unknown,white,solid,style_top|cardigan|casual|unknown|white|casual_basic+soft
auto_style_000023,auto_labeled,0.87,fit_unknown|silhouette_unknown,p_314a9c804037,p_314a9c804037_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_314a9c804037_01.jpg,bottom,shorts,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_bottom|shorts|casual|unknown|multi|casual_basic
auto_style_000024,auto_labeled,0.77,color_mood_unknown|fit_unknown|silhouette_unknown,p_d02f79a737c4,p_d02f79a737c4_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_d02f79a737c4_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,unknown,unknown,pink,solid,style_top|tank|casual|unknown|pink|casual_basic
auto_style_000025,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_c56e715e340a,p_c56e715e340a_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_c56e715e340a_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,unknown,unknown,black,solid,style_dress_jumpsuit|midi_dress|casual|unknown|black|classic+romantic
auto_style_000026,needs_review,0.69,color_mood_unknown|fit_unknown|silhouette_unknown|color_family_unknown,p_a2de569a1d7f,p_a2de569a1d7f_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_a2de569a1d7f_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,unknown,unknown,unknown,solid,style_top|tank|casual|unknown|unknown|casual_basic
auto_style_000027,auto_labeled,0.87,fit_unknown|silhouette_unknown,p_443e4d258e26,p_443e4d258e26_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_443e4d258e26_01.jpg,outerwear,leather_jacket,casual,casual,casual_basic,colorful,light_layering,unknown,unknown,multi,solid,style_outerwear|leather_jacket|casual|unknown|multi|casual_basic
auto_style_000028,auto_labeled,0.74,color_mood_unknown|fit_unknown|color_family_unknown,p_7f497448f14b,p_7f497448f14b_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_7f497448f14b_01.jpg,outerwear,coat,casual,casual,casual_basic,unknown,light_layering,unknown,tailored,unknown,solid,style_outerwear|coat|casual|unknown|unknown|casual_basic
auto_style_000029,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_7e177ef49f6a,p_7e177ef49f6a_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_7e177ef49f6a_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,unknown,unknown,black,solid,style_dress_jumpsuit|midi_dress|casual|unknown|black|classic+romantic
auto_style_000030,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_3c6c5f66e44f,p_3c6c5f66e44f_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_3c6c5f66e44f_01.jpg,top,sweater,casual,casual,casual_basic|soft,neutral,single_layer,unknown,unknown,gray,solid,style_top|sweater|casual|unknown|gray|casual_basic+soft
auto_style_000031,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_209304e68c5b,p_209304e68c5b_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_209304e68c5b_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000032,auto_labeled,0.77,color_mood_unknown|fit_unknown|silhouette_unknown,p_f543eadbbd71,p_f543eadbbd71_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_f543eadbbd71_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,unknown,unknown,pink,solid,style_top|tank|casual|unknown|pink|casual_basic
auto_style_000033,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_98ac1e963060,p_98ac1e963060_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_98ac1e963060_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000034,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_c7072497e475,p_c7072497e475_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_c7072497e475_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000035,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_a668974d4925,p_a668974d4925_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_a668974d4925_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,colorful,single_layer,unknown,unknown,multi,solid,style_dress_jumpsuit|midi_dress|casual|unknown|multi|classic+romantic
auto_style_000036,needs_review,0.69,color_mood_unknown|fit_unknown|silhouette_unknown|color_family_unknown,p_9a50369536c9,p_9a50369536c9_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_9a50369536c9_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,unknown,unknown,unknown,stripe,style_dress_jumpsuit|midi_dress|casual|unknown|unknown|classic+romantic
auto_style_000037,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_f45a91d07673,p_f45a91d07673_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_f45a91d07673_01.jpg,top,sweater,casual,casual,casual_basic|soft,colorful,single_layer,unknown,unknown,multi,solid,style_top|sweater|casual|unknown|multi|casual_basic+soft
auto_style_000038,auto_labeled,0.95,fit_unknown,p_981916b97166,p_981916b97166_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_981916b97166_01.jpg,outerwear,coat,casual,casual,casual_basic,colorful,light_layering,unknown,tailored,multi,solid,style_outerwear|coat|casual|unknown|multi|casual_basic
auto_style_000039,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_7434e098f527,p_7434e098f527_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_7434e098f527_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000040,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_8c843bf6dc0d,p_8c843bf6dc0d_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_8c843bf6dc0d_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000041,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_0dbb6c717eed,p_0dbb6c717eed_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_0dbb6c717eed_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000042,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_62638266216c,p_62638266216c_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_62638266216c_01.jpg,top,blouse,casual,casual,classic|minimal,neutral,single_layer,unknown,unknown,white,solid,style_top|blouse|casual|unknown|white|classic+minimal
auto_style_000043,needs_review,0.69,color_mood_unknown|fit_unknown|silhouette_unknown|color_family_unknown,p_d4d47b2521bd,p_d4d47b2521bd_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_d4d47b2521bd_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,unknown,unknown,unknown,solid,style_top|tank|casual|unknown|unknown|casual_basic
auto_style_000044,auto_labeled,0.77,color_mood_unknown|fit_unknown|silhouette_unknown,p_3e7eecbbe3ec,p_3e7eecbbe3ec_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_3e7eecbbe3ec_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,unknown,unknown,red,solid,style_top|tank|casual|unknown|red|casual_basic
auto_style_000045,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_6cd3ae226094,p_6cd3ae226094_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_6cd3ae226094_01.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,unknown,unknown,beige,solid,style_top|tank|casual|unknown|beige|casual_basic
auto_style_000046,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_154cc4accc64,p_154cc4accc64_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_154cc4accc64_02.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,unknown,unknown,beige,solid,style_top|tank|casual|unknown|beige|casual_basic
auto_style_000047,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_e25d6c2c9a17,p_e25d6c2c9a17_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_e25d6c2c9a17_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000048,auto_labeled,0.77,color_mood_unknown|fit_unknown|silhouette_unknown,p_b1592779465c,p_b1592779465c_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_b1592779465c_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,unknown,unknown,green,solid,style_top|tank|casual|unknown|green|casual_basic
auto_style_000049,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_903782b65086,p_903782b65086_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_903782b65086_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,unknown,unknown,black,solid,style_dress_jumpsuit|midi_dress|casual|unknown|black|classic+romantic
auto_style_000050,auto_labeled,0.74,color_mood_unknown|fit_unknown|silhouette_unknown,p_eda5f4d86df0,p_eda5f4d86df0_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_eda5f4d86df0_01.jpg,dress_jumpsuit,romper,casual,casual,classic|romantic,unknown,single_layer,unknown,unknown,blue,solid,style_dress_jumpsuit|romper|casual|unknown|blue|classic+romantic
auto_style_000051,auto_labeled,0.77,color_mood_unknown|fit_unknown|silhouette_unknown,p_cb2e5d3c9a3c,p_cb2e5d3c9a3c_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_cb2e5d3c9a3c_01.jpg,top,sweater,casual,casual,casual_basic|soft,unknown,single_layer,unknown,unknown,blue,solid,style_top|sweater|casual|unknown|blue|casual_basic+soft
auto_style_000052,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_a2de569a1d7f,p_a2de569a1d7f_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_a2de569a1d7f_02.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000053,auto_labeled,0.77,color_mood_unknown|fit_unknown|silhouette_unknown,p_8c2004dd7ede,p_8c2004dd7ede_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_8c2004dd7ede_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,unknown,unknown,metallic,solid,style_dress_jumpsuit|midi_dress|casual|unknown|metallic|classic+romantic
auto_style_000054,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_9978c1992721,p_9978c1992721_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_9978c1992721_01.jpg,top,blouse,casual,casual,classic|minimal,neutral,single_layer,unknown,unknown,beige,solid,style_top|blouse|casual|unknown|beige|classic+minimal
auto_style_000055,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_95ee6da36fe5,p_95ee6da36fe5_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_95ee6da36fe5_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,unknown,unknown,black,solid,style_dress_jumpsuit|midi_dress|casual|unknown|black|classic+romantic
auto_style_000056,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_d5ba9ba2aa8a,p_d5ba9ba2aa8a_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_d5ba9ba2aa8a_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000057,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_e25d6c2c9a17,p_e25d6c2c9a17_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_e25d6c2c9a17_02.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000058,auto_labeled,0.77,color_mood_unknown|fit_unknown|silhouette_unknown,p_d4d47b2521bd,p_d4d47b2521bd_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_d4d47b2521bd_02.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,unknown,unknown,blue,solid,style_top|tank|casual|unknown|blue|casual_basic
auto_style_000059,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_ec5f6df7d06f,p_ec5f6df7d06f_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_ec5f6df7d06f_01.jpg,top,sweater,casual,casual,casual_basic|soft,colorful,single_layer,unknown,unknown,multi,solid,style_top|sweater|casual|unknown|multi|casual_basic+soft
auto_style_000060,needs_review,0.69,color_mood_unknown|fit_unknown|silhouette_unknown|color_family_unknown,p_d9e04d5b8d3c,p_d9e04d5b8d3c_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_d9e04d5b8d3c_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,unknown,unknown,unknown,solid,style_dress_jumpsuit|midi_dress|casual|unknown|unknown|classic+romantic
auto_style_000061,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_71205e82f181,p_71205e82f181_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_71205e82f181_01.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,unknown,unknown,beige,solid,style_top|tank|casual|unknown|beige|casual_basic
auto_style_000062,auto_labeled,0.87,fit_unknown|silhouette_unknown,p_19b25eb45a70,p_19b25eb45a70_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_19b25eb45a70_01.jpg,dress_jumpsuit,romper,casual,casual,classic|romantic,colorful,single_layer,unknown,unknown,multi,solid,style_dress_jumpsuit|romper|casual|unknown|multi|classic+romantic
auto_style_000063,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_98e999fe2f3a,p_98e999fe2f3a_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_98e999fe2f3a_01.jpg,top,sweater,casual,casual,casual_basic|soft,neutral,single_layer,unknown,unknown,black,abstract,style_top|sweater|casual|unknown|black|casual_basic+soft
auto_style_000064,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_740ca98cf979,p_740ca98cf979_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_740ca98cf979_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000065,needs_review,0.69,color_mood_unknown|fit_unknown|silhouette_unknown|color_family_unknown,p_207a19789a31,p_207a19789a31_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_207a19789a31_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,unknown,unknown,unknown,plaid,style_top|tank|casual|unknown|unknown|casual_basic
auto_style_000066,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_1b2769d6f4b4,p_1b2769d6f4b4_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_1b2769d6f4b4_01.jpg,top,sweater,casual,casual,casual_basic|soft,neutral,single_layer,unknown,unknown,black,solid,style_top|sweater|casual|unknown|black|casual_basic+soft
auto_style_000067,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_f543eadbbd71,p_f543eadbbd71_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_f543eadbbd71_02.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,unknown,unknown,gray,solid,style_top|tank|casual|unknown|gray|casual_basic
auto_style_000068,needs_review,0.69,color_mood_unknown|fit_unknown|silhouette_unknown|color_family_unknown,p_972be3accdf3,p_972be3accdf3_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_972be3accdf3_01.jpg,top,sweater,casual,casual,casual_basic|soft,unknown,single_layer,unknown,unknown,unknown,solid,style_top|sweater|casual|unknown|unknown|casual_basic+soft
auto_style_000069,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_5fa4788119a3,p_5fa4788119a3_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_5fa4788119a3_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,unknown,unknown,white,solid,style_dress_jumpsuit|midi_dress|casual|unknown|white|classic+romantic
auto_style_000070,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_97f1078ae3b7,p_97f1078ae3b7_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_97f1078ae3b7_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,unknown,unknown,black,solid,style_dress_jumpsuit|midi_dress|casual|unknown|black|classic+romantic
auto_style_000071,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_5fa4788119a3,p_5fa4788119a3_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_5fa4788119a3_02.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,unknown,unknown,black,solid,style_dress_jumpsuit|midi_dress|casual|unknown|black|classic+romantic
auto_style_000072,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_144f85e66d32,p_144f85e66d32_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_144f85e66d32_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000073,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_bebd9bd2844c,p_bebd9bd2844c_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_bebd9bd2844c_01.jpg,top,blouse,casual,casual,classic|minimal,neutral,single_layer,unknown,unknown,white,solid,style_top|blouse|casual|unknown|white|classic+minimal
auto_style_000074,auto_labeled,0.95,fit_unknown,p_720a91197642,p_720a91197642_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_720a91197642_01.jpg,bottom,skirt,casual,casual,casual_basic,colorful,single_layer,unknown,a_line,multi,solid,style_bottom|skirt|casual|unknown|multi|casual_basic
auto_style_000075,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_d812eaa6e16b,p_d812eaa6e16b_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_d812eaa6e16b_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,colorful,single_layer,unknown,unknown,multi,solid,style_dress_jumpsuit|midi_dress|casual|unknown|multi|classic+romantic
auto_style_000076,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_b1592779465c,p_b1592779465c_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_b1592779465c_02.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000077,auto_labeled,0.77,color_mood_unknown|fit_unknown|silhouette_unknown,p_cd80eb25afb5,p_cd80eb25afb5_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_cd80eb25afb5_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,unknown,unknown,blue,solid,style_dress_jumpsuit|midi_dress|casual|unknown|blue|classic+romantic
auto_style_000078,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_740ca98cf979,p_740ca98cf979_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_740ca98cf979_02.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000079,auto_labeled,0.77,color_mood_unknown|fit_unknown|silhouette_unknown,p_8656ed7ee1df,p_8656ed7ee1df_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_8656ed7ee1df_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,unknown,unknown,red,solid,style_dress_jumpsuit|midi_dress|casual|unknown|red|classic+romantic
