person_id,image_id,split,redacted_image_uri,primary_family,primary_category,occasion,formality,aesthetic_tags,color_mood,layering,gender_label_source,rights_basis
p_0775fb8c816a,p_0775fb8c816a_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_0775fb8c816a_01.jpg,top,hoodie,casual,casual,casual_basic|streetwear,neutral,single_layer,dataset_label,dataset_license
p_59a981c52981,p_59a981c52981_01,test,redacted/deepfashion_with_masks_balanced_10_20/p_59a981c52981_01.jpg,dress_jumpsuit,romper,casual,casual,classic|romantic,unknown,single_layer,dataset_label,dataset_license
p_f09f91955808,p_f09f91955808_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_f09f91955808_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_c0d1cd34d5ce,p_c0d1cd34d5ce_01,val,redacted/deepfashion_with_masks_balanced_10_20/p_c0d1cd34d5ce_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,dataset_label,dataset_license
p_9fc07204fcdf,p_9fc07204fcdf_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_9fc07204fcdf_01.jpg,top,blouse,casual,casual,classic|minimal,neutral,single_layer,dataset_label,dataset_license
p_ad0532796df2,p_ad0532796df2_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_ad0532796df2_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_2611f4bc647e,p_2611f4bc647e_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_2611f4bc647e_01.jpg,top,blouse,casual,casual,classic|minimal,colorful,single_layer,dataset_label,dataset_license
p_57118bbb0434,p_57118bbb0434_01,test,redacted/deepfashion_with_masks_balanced_10_20/p_57118bbb0434_01.jpg,top,sweater,casual,casual,soft|casual_basic,unknown,single_layer,dataset_label,dataset_license
p_6261af5b0e16,p_6261af5b0e16_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_6261af5b0e16_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_9fc07204fcdf,p_9fc07204fcdf_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_9fc07204fcdf_02.jpg,top,blouse,casual,casual,classic|minimal,unknown,single_layer,dataset_label,dataset_license
p_6077e4519f4b,p_6077e4519f4b_01,val,redacted/deepfashion_with_masks_balanced_10_20/p_6077e4519f4b_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_1db0c52ffa18,p_1db0c52ffa18_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_1db0c52ffa18_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,dataset_label,dataset_license
p_dc3414a88dd9,p_dc3414a88dd9_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_dc3414a88dd9_01.jpg,top,cardigan,casual,casual,soft|casual_basic,colorful,light_layering,dataset_label,dataset_license
p_5048536ac78e,p_5048536ac78e_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_5048536ac78e_01.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,dataset_label,dataset_license
p_dc3414a88dd9,p_dc3414a88dd9_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_dc3414a88dd9_02.jpg,top,cardigan,casual,casual,soft|casual_basic,neutral,light_layering,dataset_label,dataset_license
p_314a9c804037,p_314a9c804037_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_314a9c804037_01.jpg,bottom,shorts,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_031c13828ab5,p_031c13828ab5_02,test,redacted/deepfashion_with_masks_balanced_10_20/p_031c13828ab5_02.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_d02f79a737c4,p_d02f79a737c4_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_d02f79a737c4_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_c56e715e340a,p_c56e715e340a_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_c56e715e340a_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,dataset_label,dataset_license
p_a2de569a1d7f,p_a2de569a1d7f_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_a2de569a1d7f_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_23355bd4bfc3,p_23355bd4bfc3_01,test,redacted/deepfashion_with_masks_balanced_10_20/p_23355bd4bfc3_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,dataset_label,dataset_license
p_746d3649914b,p_746d3649914b_01,test,redacted/deepfashion_with_masks_balanced_10_20/p_746d3649914b_01.jpg,bottom,shorts,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_443e4d258e26,p_443e4d258e26_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_443e4d258e26_01.jpg,outerwear,leather_jacket,casual,casual,casual_basic,colorful,light_layering,dataset_label,dataset_license
p_bb8211f66770,p_bb8211f66770_01,test,redacted/deepfashion_with_masks_balanced_10_20/p_bb8211f66770_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_7f497448f14b,p_7f497448f14b_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_7f497448f14b_01.jpg,outerwear,coat,casual,casual,casual_basic,unknown,light_layering,dataset_label,dataset_license
p_c8a87a63c306,p_c8a87a63c306_01,val,redacted/deepfashion_with_masks_balanced_10_20/p_c8a87a63c306_01.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,dataset_label,dataset_license
p_7e177ef49f6a,p_7e177ef49f6a_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_7e177ef49f6a_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,dataset_label,dataset_license
p_3c6c5f66e44f,p_3c6c5f66e44f_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_3c6c5f66e44f_01.jpg,top,sweater,casual,casual,soft|casual_basic,neutral,single_layer,dataset_label,dataset_license
p_b901348ddfbd,p_b901348ddfbd_01,val,redacted/deepfashion_with_masks_balanced_10_20/p_b901348ddfbd_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,dataset_label,dataset_license
p_209304e68c5b,p_209304e68c5b_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_209304e68c5b_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_f89da5d2832b,p_f89da5d2832b_01,val,redacted/deepfashion_with_masks_balanced_10_20/p_f89da5d2832b_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_f543eadbbd71,p_f543eadbbd71_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_f543eadbbd71_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_98ac1e963060,p_98ac1e963060_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_98ac1e963060_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_c7072497e475,p_c7072497e475_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_c7072497e475_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_a668974d4925,p_a668974d4925_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_a668974d4925_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,colorful,single_layer,dataset_label,dataset_license
p_9a50369536c9,p_9a50369536c9_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_9a50369536c9_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,dataset_label,dataset_license
p_f45a91d07673,p_f45a91d07673_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_f45a91d07673_01.jpg,top,sweater,casual,casual,soft|casual_basic,colorful,single_layer,dataset_label,dataset_license
p_981916b97166,p_981916b97166_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_981916b97166_01.jpg,outerwear,coat,casual,casual,casual_basic,colorful,light_layering,dataset_label,dataset_license
p_7434e098f527,p_7434e098f527_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_7434e098f527_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_8c843bf6dc0d,p_8c843bf6dc0d_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_8c843bf6dc0d_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_0e4742788789,p_0e4742788789_01,test,redacted/deepfashion_with_masks_balanced_10_20/p_0e4742788789_01.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,dataset_label,dataset_license
p_0dbb6c717eed,p_0dbb6c717eed_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_0dbb6c717eed_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_62638266216c,p_62638266216c_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_62638266216c_01.jpg,top,blouse,casual,casual,classic|minimal,neutral,single_layer,dataset_label,dataset_license
p_d4d47b2521bd,p_d4d47b2521bd_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_d4d47b2521bd_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_3e7eecbbe3ec,p_3e7eecbbe3ec_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_3e7eecbbe3ec_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_6cd3ae226094,p_6cd3ae226094_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_6cd3ae226094_01.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,dataset_label,dataset_license
p_db1b98bf7929,p_db1b98bf7929_01,test,redacted/deepfashion_with_masks_balanced_10_20/p_db1b98bf7929_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_6b4c8471c512,p_6b4c8471c512_01,val,redacted/deepfashion_with_masks_balanced_10_20/p_6b4c8471c512_01.jpg,top,cardigan,casual,casual,soft|casual_basic,neutral,light_layering,dataset_label,dataset_license
p_6cd78a63c16c,p_6cd78a63c16c_01,val,redacted/deepfashion_with_masks_balanced_10_20/p_6cd78a63c16c_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,dataset_label,dataset_license
p_154cc4accc64,p_154cc4accc64_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_154cc4accc64_02.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,dataset_label,dataset_license
p_e25d6c2c9a17,p_e25d6c2c9a17_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_e25d6c2c9a17_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_b1592779465c,p_b1592779465c_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_b1592779465c_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_903782b65086,p_903782b65086_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_903782b65086_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,dataset_label,dataset_license
p_a1e4682e5285,p_a1e4682e5285_01,test,redacted/deepfashion_with_masks_balanced_10_20/p_a1e4682e5285_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_eda5f4d86df0,p_eda5f4d86df0_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_eda5f4d86df0_01.jpg,dress_jumpsuit,romper,casual,casual,classic|romantic,unknown,single_layer,dataset_label,dataset_license
p_cb2e5d3c9a3c,p_cb2e5d3c9a3c_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_cb2e5d3c9a3c_01.jpg,top,sweater,casual,casual,soft|casual_basic,unknown,single_layer,dataset_label,dataset_license
p_a2de569a1d7f,p_a2de569a1d7f_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_a2de569a1d7f_02.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_8c2004dd7ede,p_8c2004dd7ede_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_8c2004dd7ede_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,dataset_label,dataset_license
p_9978c1992721,p_9978c1992721_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_9978c1992721_01.jpg,top,blouse,casual,casual,classic|minimal,neutral,single_layer,dataset_label,dataset_license
p_95ee6da36fe5,p_95ee6da36fe5_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_95ee6da36fe5_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,dataset_label,dataset_license
p_d5ba9ba2aa8a,p_d5ba9ba2aa8a_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_d5ba9ba2aa8a_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_e25d6c2c9a17,p_e25d6c2c9a17_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_e25d6c2c9a17_02.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_d4d47b2521bd,p_d4d47b2521bd_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_d4d47b2521bd_02.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_ec5f6df7d06f,p_ec5f6df7d06f_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_ec5f6df7d06f_01.jpg,top,sweater,casual,casual,soft|casual_basic,colorful,single_layer,dataset_label,dataset_license
p_d9e04d5b8d3c,p_d9e04d5b8d3c_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_d9e04d5b8d3c_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,dataset_label,dataset_license
p_b901348ddfbd,p_b901348ddfbd_02,val,redacted/deepfashion_with_masks_balanced_10_20/p_b901348ddfbd_02.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,dataset_label,dataset_license
p_71205e82f181,p_71205e82f181_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_71205e82f181_01.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,dataset_label,dataset_license
p_19b25eb45a70,p_19b25eb45a70_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_19b25eb45a70_01.jpg,dress_jumpsuit,romper,casual,casual,classic|romantic,colorful,single_layer,dataset_label,dataset_license
p_98e999fe2f3a,p_98e999fe2f3a_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_98e999fe2f3a_01.jpg,top,sweater,casual,casual,soft|casual_basic,neutral,single_layer,dataset_label,dataset_license
p_740ca98cf979,p_740ca98cf979_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_740ca98cf979_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_031c13828ab5,p_031c13828ab5_03,test,redacted/deepfashion_with_masks_balanced_10_20/p_031c13828ab5_03.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,dataset_label,dataset_license
p_207a19789a31,p_207a19789a31_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_207a19789a31_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_1b2769d6f4b4,p_1b2769d6f4b4_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_1b2769d6f4b4_01.jpg,top,sweater,casual,casual,soft|casual_basic,neutral,single_layer,dataset_label,dataset_license
p_f543eadbbd71,p_f543eadbbd71_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_f543eadbbd71_02.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,dataset_label,dataset_license
p_db9292e00727,p_db9292e00727_01,test,redacted/deepfashion_with_masks_balanced_10_20/p_db9292e00727_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_972be3accdf3,p_972be3accdf3_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_972be3accdf3_01.jpg,top,sweater,casual,casual,soft|casual_basic,unknown,single_layer,dataset_label,dataset_license
p_5fa4788119a3,p_5fa4788119a3_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_5fa4788119a3_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,dataset_label,dataset_license
p_97f1078ae3b7,p_97f1078ae3b7_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_97f1078ae3b7_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,dataset_label,dataset_license
p_5fa4788119a3,p_5fa4788119a3_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_5fa4788119a3_02.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,neutral,single_layer,dataset_label,dataset_license
p_144f85e66d32,p_144f85e66d32_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_144f85e66d32_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_bebd9bd2844c,p_bebd9bd2844c_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_bebd9bd2844c_01.jpg,top,blouse,casual,casual,classic|minimal,neutral,single_layer,dataset_label,dataset_license
p_720a91197642,p_720a91197642_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_720a91197642_01.jpg,bottom,skirt,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_c57141e25d3e,p_c57141e25d3e_01,val,redacted/deepfashion_with_masks_balanced_10_20/p_c57141e25d3e_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_611470f3b7e5,p_611470f3b7e5_01,test,redacted/deepfashion_with_masks_balanced_10_20/p_611470f3b7e5_01.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,dataset_label,dataset_license
p_91821ad15233,p_91821ad15233_01,val,redacted/deepfashion_with_masks_balanced_10_20/p_91821ad15233_01.jpg,top,hoodie,casual,casual,casual_basic|streetwear,unknown,single_layer,dataset_label,dataset_license
p_d812eaa6e16b,p_d812eaa6e16b_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_d812eaa6e16b_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,colorful,single_layer,dataset_label,dataset_license
p_b1592779465c,p_b1592779465c_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_b1592779465c_02.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_cd80eb25afb5,p_cd80eb25afb5_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_cd80eb25afb5_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,dataset_label,dataset_license
p_db9292e00727,p_db9292e00727_02,test,redacted/deepfashion_with_masks_balanced_10_20/p_db9292e00727_02.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_740ca98cf979,p_740ca98cf979_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_740ca98cf979_02.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_8656ed7ee1df,p_8656ed7ee1df_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_8656ed7ee1df_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,dataset_label,dataset_license
p_039b66845108,p_039b66845108_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_039b66845108_01.jpg,top,blouse,casual,casual,classic|minimal,unknown,single_layer,dataset_label,dataset_license
p_d5b620c7759e,p_d5b620c7759e_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_d5b620c7759e_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_0522097fbb74,p_0522097fbb74_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_0522097fbb74_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_031c13828ab5,p_031c13828ab5_04,test,redacted/deepfashion_with_masks_balanced_10_20/p_031c13828ab5_04.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_58f0e836563a,p_58f0e836563a_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_58f0e836563a_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_2daa55a1a780,p_2daa55a1a780_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_2daa55a1a780_01.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,dataset_label,dataset_license
p_95ee6da36fe5,p_95ee6da36fe5_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_95ee6da36fe5_02.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,colorful,single_layer,dataset_label,dataset_license
p_eedf91627507,p_eedf91627507_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_eedf91627507_01.jpg,top,sweater,casual,casual,soft|casual_basic,colorful,single_layer,dataset_label,dataset_license
p_c57141e25d3e,p_c57141e25d3e_02,val,redacted/deepfashion_with_masks_balanced_10_20/p_c57141e25d3e_02.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,dataset_label,dataset_license
p_2ff852218a17,p_2ff852218a17_01,test,redacted/deepfashion_with_masks_balanced_10_20/p_2ff852218a17_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_9a50369536c9,p_9a50369536c9_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_9a50369536c9_02.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,colorful,single_layer,dataset_label,dataset_license
p_71205e82f181,p_71205e82f181_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_71205e82f181_02.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_18f926dc543b,p_18f926dc543b_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_18f926dc543b_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_93a0587b72c8,p_93a0587b72c8_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_93a0587b72c8_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_9916df2da975,p_9916df2da975_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_9916df2da975_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_dc1124d71733,p_dc1124d71733_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_dc1124d71733_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_2c5c290faef1,p_2c5c290faef1_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_2c5c290faef1_01.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,dataset_label,dataset_license
p_314a9c804037,p_314a9c804037_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_314a9c804037_02.jpg,bottom,shorts,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_d9e04d5b8d3c,p_d9e04d5b8d3c_02,train,redacted/deepfashion_with_masks_balanced_10_20/p_d9e04d5b8d3c_02.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,dataset_label,dataset_license
p_b5191067f36e,p_b5191067f36e_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_b5191067f36e_01.jpg,top,cardigan,casual,casual,soft|casual_basic,neutral,light_layering,dataset_label,dataset_license
p_9154ae11d00c,p_9154ae11d00c_01,val,redacted/deepfashion_with_masks_balanced_10_20/p_9154ae11d00c_01.jpg,top,blouse,casual,casual,classic|minimal,unknown,single_layer,dataset_label,dataset_license
p_b17543ff41ab,p_b17543ff41ab_01,val,redacted/deepfashion_with_masks_balanced_10_20/p_b17543ff41ab_01.jpg,top,blouse,casual,casual,classic|minimal,neutral,single_layer,dataset_label,dataset_license
p_e6d05846ea7c,p_e6d05846ea7c_01,test,redacted/deepfashion_with_masks_balanced_10_20/p_e6d05846ea7c_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_031c13828ab5,p_031c13828ab5_05,test,redacted/deepfashion_with_masks_balanced_10_20/p_031c13828ab5_05.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,dataset_label,dataset_license
