person_id,image_id,slot,collection_status,consent_status,redaction_status,label_status
p_000008,p_000008_02,2,pending,pending,pending,pending
p_000008,p_000008_03,3,pending,pending,pending,pending
p_000008,p_000008_04,4,pending,pending,pending,pending
p_000008,p_000008_05,5,pending,pending,pending,pending
p_000008,p_000008_06,6,pending,pending,pending,pending
p_000008,p_000008_07,7,pending,pending,pending,pending
p_000008,p_000008_08,8,pending,pending,pending,pending
p_000008,p_000008_09,9,pending,pending,pending,pending
p_000008,p_000008_10,10,pending,pending,pending,pending
p_000009,p_000009_01,1,pending,pending,pending,pending
p_000009,p_000009_02,2,pending,pending,pending,pending
p_000009,p_000009_03,3,pending,pending,pending,pending
p_000009,p_000009_04,4,pending,pending,pending,pending
p_000009,p_000009_05,5,pending,pending,pending,pending
p_000009,p_000009_06,6,pending,pending,pending,pending
p_000009,p_000009_07,7,pending,pending,pending,pending
p_000009,p_000009_08,8,pending,pending,pending,pending
p_000009,p_000009_09,9,pending,pending,pending,pending
p_000009,p_000009_10,10,pending,pending,pending,pending
p_000010,p_000010_01,1,pending,pending,pending,pending
p_000010,p_000010_02,2,pending,pending,pending,pending
p_000010,p_000010_03,3,pending,pending,pending,pending
p_000010,p_000010_04,4,pending,pending,pending,pending
p_000010,p_000010_05,5,pending,pending,pending,pending
p_000010,p_000010_06,6,pending,pending,pending,pending
p_000010,p_000010_07,7,pending,pending,pending,pending
p_000010,p_000010_08,8,pending,pending,pending,pending
p_000010,p_000010_09,9,pending,pending,pending,pending
p_000010,p_000010_10,10,pending,pending,pending,pending
p_000011,p_000011_01,1,pending,pending,pending,pending
p_000011,p_000011_02,2,pending,pending,pending,pending
p_000011,p_000011_03,3,pending,pending,pending,pending
p_000011,p_000011_04,4,pending,pending,pending,pending
p_000011,p_000011_05,5,pending,pending,pending,pending
p_000011,p_000011_06,6,pending,pending,pending,pending
p_000011,p_000011_07,7,pending,pending,pending,pending
p_000011,p_000011_08,8,pending,pending,pending,pending
p_000011,p_000011_09,9,pending,pending,pending,pending
p_000011,p_000011_10,10,pending,pending,pending,pending
p_000012,p_000012_01,1,pending,pending,pending,pending
p_000012,p_000012_02,2,pending,pending,pending,pending
p_000012,p_000012_03,3,pending,pending,pending,pending
p_000012,p_000012_04,4,pending,pending,pending,pending
p_000012,p_000012_05,5,pending,pending,pending,pending
p_000012,p_000012_06,6,pending,pending,pending,pending
p_000012,p_000012_07,7,pending,pending,pending,pending
p_000012,p_000012_08,8,pending,pending,pending,pending
p_000012,p_000012_09,9,pending,pending,pending,pending
p_000012,p_000012_10,10,pending,pending,pending,pending
p_000013,p_000013_01,1,pending,pending,pending,pending
p_000013,p_000013_02,2,pending,pending,pending,pending
p_000013,p_000013_03,3,pending,pending,pending,pending
p_000013,p_000013_04,4,pending,pending,pending,pending
p_000013,p_000013_05,5,pending,pending,pending,pending
p_000013,p_000013_06,6,pending,pending,pending,pending
p_000013,p_000013_07,7,pending,pending,pending,pending
p_000013,p_000013_08,8,pending,pending,pending,pending
p_000013,p_000013_09,9,pending,pending,pending,pending
p_000013,p_000013_10,10,pending,pending,pending,pending
p_000014,p_000014_01,1,pending,pending,pending,pending
p_000014,p_000014_02,2,pending,pending,pending,pending
p_000014,p_000014_03,3,pending,pending,pending,pending
p_000014,p_000014_04,4,pending,pending,pending,pending
p_000014,p_000014_05,5,pending,pending,pending,pending
p_000014,p_000014_06,6,pending,pending,pending,pending
p_000014,p_000014_07,7,pending,pending,pending,pending
p_000014,p_000014_08,8,pending,pending,pending,pending
p_000014,p_000014_09,9,pending,pending,pending,pending
p_000014,p_000014_10,10,pending,pending,pending,pending
p_000015,p_000015_01,1,pending,pending,pending,pending
p_000015,p_000015_02,2,pending,pending,pending,pending
p_000015,p_000015_03,3,pending,pending,pending,pending
p_000015,p_000015_04,4,pending,pending,pending,pending
p_000015,p_000015_05,5,pending,pending,pending,pending
p_000015,p_000015_06,6,pending,pending,pending,pending
p_000015,p_000015_07,7,pending,pending,pending,pending
p_000015,p_000015_08,8,pending,pending,pending,pending
p_000015,p_000015_09,9,pending,pending,pending,pending
p_000015,p_000015_10,10,pending,pending,pending,pending
p_000016,p_000016_01,1,pending,pending,pending,pending
p_000016,p_000016_02,2,pending,pending,pending,pending
p_000016,p_000016_03,3,pending,pending,pending,pending
p_000016,p_000016_04,4,pending,pending,pending,pending
p_000016,p_000016_05,5,pending,pending,pending,pending
p_000016,p_000016_06,6,pending,pending,pending,pending
p_000016,p_000016_07,7,pending,pending,pending,pending
p_000016,p_000016_08,8,pending,pending,pending,pending
p_000016,p_000016_09,9,pending,pending,pending,pending
p_000016,p_000016_10,10,pending,pending,pending,pending
p_000017,p_000017_01,1,pending,pending,pending,pending
p_000017,p_000017_02,2,pending,pending,pending,pending
p_000017,p_000017_03,3,pending,pending,pending,pending
p_000017,p_000017_04,4,pending,pending,pending,pending
p_000017,p_000017_05,5,pending,pending,pending,pending
p_000017,p_000017_06,6,pending,pending,pending,pending
p_000017,p_000017_07,7,pending,pending,pending,pending
p_000017,p_000017_08,8,pending,pending,pending,pending
p_000017,p_000017_09,9,pending,pending,pending,pending
p_000017,p_000017_10,10,pending,pending,pending,pending
p_000018,p_000018_01,1,pending,pending,pending,pending
p_000018,p_000018_02,2,pending,pending,pending,pending
p_000018,p_000018_03,3,pending,pending,pending,pending
p_000018,p_000018_04,4,pending,pending,pending,pending
p_000018,p_000018_05,5,pending,pending,pending,pending
p_000018,p_000018_06,6,pending,pending,pending,pending
p_000018,p_000018_07,7,pending,pending,pending,pending
p_000018,p_000018_08,8,pending,pending,pending,pending
p_000018,p_000018_09,9,pending,pending,pending,pending
p_000018,p_000018_10,10,pending,pending,pending,pending
p_000019,p_000019_01,1,pending,pending,pending,pending
p_000019,p_000019_02,2,pending,pending,pending,pending
p_000019,p_000019_03,3,pending,pending,pending,pending
p_000019,p_000019_04,4,pending,pending,pending,pending
p_000019,p_000019_05,5,pending,pending,pending,pending
p_000019,p_000019_06,6,pending,pending,pending,pending
p_000019,p_000019_07,7,pending,pending,pending,pending
p_000019,p_000019_08,8,pending,pending,pending,pending
p_000019,p_000019_09,9,pending,pending,pending,pending
p_000019,p_000019_10,10,pending,pending,pending,pending
p_000020,p_000020_01,1,pending,pending,pending,pending
p_000020,p_000020_02,2,pending,pending,pending,pending
p_000020,p_000020_03,3,pending,pending,pending,pending
p_000020,p_000020_04,4,pending,pending,pending,pending
p_000020,p_000020_05,5,pending,pending,pending,pending
p_000020,p_000020_06,6,pending,pending,pending,pending
p_000020,p_000020_07,7,pending,pending,pending,pending
p_000020,p_000020_08,8,pending,pending,pending,pending
p_000020,p_000020_09,9,pending,pending,pending,pending
p_000020,p_000020_10,10,pending,pending,pending,pending
p_000021,p_000021_01,1,pending,pending,pending,pending
p_000021,p_000021_02,2,pending,pending,pending,pending
p_000021,p_000021_03,3,pending,pending,pending,pending
p_000021,p_000021_04,4,pending,pending,pending,pending
p_000021,p_000021_05,5,pending,pending,pending,pending
p_000021,p_000021_06,6,pending,pending,pending,pending
p_000021,p_000021_07,7,pending,pending,pending,pending
p_000021,p_000021_08,8,pending,pending,pending,pending
p_000021,p_000021_09,9,pending,pending,pending,pending
p_000021,p_000021_10,10,pending,pending,pending,pending
p_000022,p_000022_01,1,pending,pending,pending,pending
p_000022,p_000022_02,2,pending,pending,pending,pending
p_000022,p_000022_03,3,pending,pending,pending,pending
p_000022,p_000022_04,4,pending,pending,pending,pending
p_000022,p_000022_05,5,pending,pending,pending,pending
p_000022,p_000022_06,6,pending,pending,pending,pending
p_000022,p_000022_07,7,pending,pending,pending,pending
p_000022,p_000022_08,8,pending,pending,pending,pending
p_000022,p_000022_09,9,pending,pending,pending,pending
p_000022,p_000022_10,10,pending,pending,pending,pending
p_000023,p_000023_01,1,pending,pending,pending,pending
p_000023,p_000023_02,2,pending,pending,pending,pending
p_000023,p_000023_03,3,pending,pending,pending,pending
p_000023,p_000023_04,4,pending,pending,pending,pending
p_000023,p_000023_05,5,pending,pending,pending,pending
p_000023,p_000023_06,6,pending,pending,pending,pending
p_000023,p_000023_07,7,pending,pending,pending,pending
p_000023,p_000023_08,8,pending,pending,pending,pending
p_000023,p_000023_09,9,pending,pending,pending,pending
p_000023,p_000023_10,10,pending,pending,pending,pending
p_000024,p_000024_01,1,pending,pending,pending,pending
p_000024,p_000024_02,2,pending,pending,pending,pending
p_000024,p_000024_03,3,pending,pending,pending,pending
p_000024,p_000024_04,4,pending,pending,pending,pending
p_000024,p_000024_05,5,pending,pending,pending,pending
p_000024,p_000024_06,6,pending,pending,pending,pending
p_000024,p_000024_07,7,pending,pending,pending,pending
p_000024,p_000024_08,8,pending,pending,pending,pending
p_000024,p_000024_09,9,pending,pending,pending,pending
p_000024,p_000024_10,10,pending,pending,pending,pending
p_000025,p_000025_01,1,pending,pending,pending,pending
p_000025,p_000025_02,2,pending,pending,pending,pending
p_000025,p_000025_03,3,pending,pending,pending,pending
p_000025,p_000025_04,4,pending,pending,pending,pending
p_000025,p_000025_05,5,pending,pending,pending,pending
p_000025,p_000025_06,6,pending,pending,pending,pending
p_000025,p_000025_07,7,pending,pending,pending,pending
p_000025,p_000025_08,8,pending,pending,pending,pending
p_000025,p_000025_09,9,pending,pending,pending,pending
p_000025,p_000025_10,10,pending,pending,pending,pending
p_000026,p_000026_01,1,pending,pending,pending,pending
p_000026,p_000026_02,2,pending,pending,pending,pending
p_000026,p_000026_03,3,pending,pending,pending,pending
p_000026,p_000026_04,4,pending,pending,pending,pending
p_000026,p_000026_05,5,pending,pending,pending,pending
p_000026,p_000026_06,6,pending,pending,pending,pending
p_000026,p_000026_07,7,pending,pending,pending,pending
p_000026,p_000026_08,8,pending,pending,pending,pending
p_000026,p_000026_09,9,pending,pending,pending,pending
p_000026,p_000026_10,10,pending,pending,pending,pending
p_000027,p_000027_01,1,pending,pending,pending,pending
p_000027,p_000027_02,2,pending,pending,pending,pending
p_000027,p_000027_03,3,pending,pending,pending,pending
p_000027,p_000027_04,4,pending,pending,pending,pending
p_000027,p_000027_05,5,pending,pending,pending,pending
p_000027,p_000027_06,6,pending,pending,pending,pending
p_000027,p_000027_07,7,pending,pending,pending,pending
p_000027,p_000027_08,8,pending,pending,pending,pending
p_000027,p_000027_09,9,pending,pending,pending,pending
p_000027,p_000027_10,10,pending,pending,pending,pending
p_000028,p_000028_01,1,pending,pending,pending,pending
p_000028,p_000028_02,2,pending,pending,pending,pending
p_000028,p_000028_03,3,pending,pending,pending,pending
p_000028,p_000028_04,4,pending,pending,pending,pending
p_000028,p_000028_05,5,pending,pending,pending,pending
p_000028,p_000028_06,6,pending,pending,pending,pending
p_000028,p_000028_07,7,pending,pending,pending,pending
p_000028,p_000028_08,8,pending,pending,pending,pending
p_000028,p_000028_09,9,pending,pending,pending,pending
p_000028,p_000028_10,10,pending,pending,pending,pending
p_000029,p_000029_01,1,pending,pending,pending,pending
p_000029,p_000029_02,2,pending,pending,pending,pending
p_000029,p_000029_03,3,pending,pending,pending,pending
p_000029,p_000029_04,4,pending,pending,pending,pending
p_000029,p_000029_05,5,pending,pending,pending,pending
p_000029,p_000029_06,6,pending,pending,pending,pending
p_000029,p_000029_07,7,pending,pending,pending,pending
p_000029,p_000029_08,8,pending,pending,pending,pending
p_000029,p_000029_09,9,pending,pending,pending,pending
p_000029,p_000029_10,10,pending,pending,pending,pending
p_000030,p_000030_01,1,pending,pending,pending,pending
p_000030,p_000030_02,2,pending,pending,pending,pending
p_000030,p_000030_03,3,pending,pending,pending,pending
p_000030,p_000030_04,4,pending,pending,pending,pending
p_000030,p_000030_05,5,pending,pending,pending,pending
p_000030,p_000030_06,6,pending,pending,pending,pending
p_000030,p_000030_07,7,pending,pending,pending,pending
p_000030,p_000030_08,8,pending,pending,pending,pending
p_000030,p_000030_09,9,pending,pending,pending,pending
p_000030,p_000030_10,10,pending,pending,pending,pending
p_000031,p_000031_01,1,pending,pending,pending,pending
p_000031,p_000031_02,2,pending,pending,pending,pending
p_000031,p_000031_03,3,pending,pending,pending,pending
p_000031,p_000031_04,4,pending,pending,pending,pending
p_000031,p_000031_05,5,pending,pending,pending,pending
p_000031,p_000031_06,6,pending,pending,pending,pending
p_000031,p_000031_07,7,pending,pending,pending,pending
p_000031,p_000031_08,8,pending,pending,pending,pending
p_000031,p_000031_09,9,pending,pending,pending,pending
p_000031,p_000031_10,10,pending,pending,pending,pending
p_000032,p_000032_01,1,pending,pending,pending,pending
p_000032,p_000032_02,2,pending,pending,pending,pending
p_000032,p_000032_03,3,pending,pending,pending,pending
p_000032,p_000032_04,4,pending,pending,pending,pending
p_000032,p_000032_05,5,pending,pending,pending,pending
p_000032,p_000032_06,6,pending,pending,pending,pending
p_000032,p_000032_07,7,pending,pending,pending,pending
p_000032,p_000032_08,8,pending,pending,pending,pending
p_000032,p_000032_09,9,pending,pending,pending,pending
p_000032,p_000032_10,10,pending,pending,pending,pending
p_000033,p_000033_01,1,pending,pending,pending,pending
p_000033,p_000033_02,2,pending,pending,pending,pending
p_000033,p_000033_03,3,pending,pending,pending,pending
p_000033,p_000033_04,4,pending,pending,pending,pending
p_000033,p_000033_05,5,pending,pending,pending,pending
p_000033,p_000033_06,6,pending,pending,pending,pending
p_000033,p_000033_07,7,pending,pending,pending,pending
p_000033,p_000033_08,8,pending,pending,pending,pending
p_000033,p_000033_09,9,pending,pending,pending,pending
p_000033,p_000033_10,10,pending,pending,pending,pending
p_000034,p_000034_01,1,pending,pending,pending,pending
p_000034,p_000034_02,2,pending,pending,pending,pending
p_000034,p_000034_03,3,pending,pending,pending,pending
p_000034,p_000034_04,4,pending,pending,pending,pending
p_000034,p_000034_05,5,pending,pending,pending,pending
p_000034,p_000034_06,6,pending,pending,pending,pending
p_000034,p_000034_07,7,pending,pending,pending,pending
p_000034,p_000034_08,8,pending,pending,pending,pending
p_000034,p_000034_09,9,pending,pending,pending,pending
p_000034,p_000034_10,10,pending,pending,pending,pending
p_000035,p_000035_01,1,pending,pending,pending,pending
p_000035,p_000035_02,2,pending,pending,pending,pending
p_000035,p_000035_03,3,pending,pending,pending,pending
p_000035,p_000035_04,4,pending,pending,pending,pending
p_000035,p_000035_05,5,pending,pending,pending,pending
p_000035,p_000035_06,6,pending,pending,pending,pending
p_000035,p_000035_07,7,pending,pending,pending,pending
p_000035,p_000035_08,8,pending,pending,pending,pending
p_000035,p_000035_09,9,pending,pending,pending,pending
p_000035,p_000035_10,10,pending,pending,pending,pending
p_000036,p_000036_01,1,pending,pending,pending,pending
p_000036,p_000036_02,2,pending,pending,pending,pending
p_000036,p_000036_03,3,pending,pending,pending,pending
p_000036,p_000036_04,4,pending,pending,pending,pending
p_000036,p_000036_05,5,pending,pending,pending,pending
p_000036,p_000036_06,6,pending,pending,pending,pending
p_000036,p_000036_07,7,pending,pending,pending,pending
p_000036,p_000036_08,8,pending,pending,pending,pending
p_000036,p_000036_09,9,pending,pending,pending,pending
p_000036,p_000036_10,10,pending,pending,pending,pending
p_000037,p_000037_01,1,pending,pending,pending,pending
p_000037,p_000037_02,2,pending,pending,pending,pending
p_000037,p_000037_03,3,pending,pending,pending,pending
p_000037,p_000037_04,4,pending,pending,pending,pending
p_000037,p_000037_05,5,pending,pending,pending,pending
p_000037,p_000037_06,6,pending,pending,pending,pending
p_000037,p_000037_07,7,pending,pending,pending,pending
p_000037,p_000037_08,8,pending,pending,pending,pending
p_000037,p_000037_09,9,pending,pending,pending,pending
p_000037,p_000037_10,10,pending,pending,pending,pending
p_000038,p_000038_01,1,pending,pending,pending,pending
p_000038,p_000038_02,2,pending,pending,pending,pending
p_000038,p_000038_03,3,pending,pending,pending,pending
p_000038,p_000038_04,4,pending,pending,pending,pending
p_000038,p_000038_05,5,pending,pending,pending,pending
p_000038,p_000038_06,6,pending,pending,pending,pending
p_000038,p_000038_07,7,pending,pending,pending,pending
p_000038,p_000038_08,8,pending,pending,pending,pending
p_000038,p_000038_09,9,pending,pending,pending,pending
p_000038,p_000038_10,10,pending,pending,pending,pending
p_000039,p_000039_01,1,pending,pending,pending,pending
p_000039,p_000039_02,2,pending,pending,pending,pending
p_000039,p_000039_03,3,pending,pending,pending,pending
p_000039,p_000039_04,4,pending,pending,pending,pending
p_000039,p_000039_05,5,pending,pending,pending,pending
p_000039,p_000039_06,6,pending,pending,pending,pending
p_000039,p_000039_07,7,pending,pending,pending,pending
p_000039,p_000039_08,8,pending,pending,pending,pending
p_000039,p_000039_09,9,pending,pending,pending,pending
p_000039,p_000039_10,10,pending,pending,pending,pending
p_000040,p_000040_01,1,pending,pending,pending,pending
p_000040,p_000040_02,2,pending,pending,pending,pending
p_000040,p_000040_03,3,pending,pending,pending,pending
p_000040,p_000040_04,4,pending,pending,pending,pending
p_000040,p_000040_05,5,pending,pending,pending,pending
p_000040,p_000040_06,6,pending,pending,pending,pending
p_000040,p_000040_07,7,pending,pending,pending,pending
p_000040,p_000040_08,8,pending,pending,pending,pending
p_000040,p_000040_09,9,pending,pending,pending,pending
p_000040,p_000040_10,10,pending,pending,pending,pending
p_000041,p_000041_01,1,pending,pending,pending,pending
p_000041,p_000041_02,2,pending,pending,pending,pending
p_000041,p_000041_03,3,pending,pending,pending,pending
p_000041,p_000041_04,4,pending,pending,pending,pending
p_000041,p_000041_05,5,pending,pending,pending,pending
p_000041,p_000041_06,6,pending,pending,pending,pending
p_000041,p_000041_07,7,pending,pending,pending,pending
p_000041,p_000041_08,8,pending,pending,pending,pending
p_000041,p_000041_09,9,pending,pending,pending,pending
p_000041,p_000041_10,10,pending,pending,pending,pending
p_000042,p_000042_01,1,pending,pending,pending,pending
p_000042,p_000042_02,2,pending,pending,pending,pending
p_000042,p_000042_03,3,pending,pending,pending,pending
p_000042,p_000042_04,4,pending,pending,pending,pending
p_000042,p_000042_05,5,pending,pending,pending,pending
p_000042,p_000042_06,6,pending,pending,pending,pending
p_000042,p_000042_07,7,pending,pending,pending,pending
p_000042,p_000042_08,8,pending,pending,pending,pending
p_000042,p_000042_09,9,pending,pending,pending,pending
p_000042,p_000042_10,10,pending,pending,pending,pending
p_000043,p_000043_01,1,pending,pending,pending,pending
p_000043,p_000043_02,2,pending,pending,pending,pending
p_000043,p_000043_03,3,pending,pending,pending,pending
p_000043,p_000043_04,4,pending,pending,pending,pending
p_000043,p_000043_05,5,pending,pending,pending,pending
p_000043,p_000043_06,6,pending,pending,pending,pending
p_000043,p_000043_07,7,pending,pending,pending,pending
p_000043,p_000043_08,8,pending,pending,pending,pending
p_000043,p_000043_09,9,pending,pending,pending,pending
p_000043,p_000043_10,10,pending,pending,pending,pending
p_000044,p_000044_01,1,pending,pending,pending,pending
p_000044,p_000044_02,2,pending,pending,pending,pending
p_000044,p_000044_03,3,pending,pending,pending,pending
p_000044,p_000044_04,4,pending,pending,pending,pending
p_000044,p_000044_05,5,pending,pending,pending,pending
p_000044,p_000044_06,6,pending,pending,pending,pending
p_000044,p_000044_07,7,pending,pending,pending,pending
p_000044,p_000044_08,8,pending,pending,pending,pending
p_000044,p_000044_09,9,pending,pending,pending,pending
p_000044,p_000044_10,10,pending,pending,pending,pending
p_000045,p_000045_01,1,pending,pending,pending,pending
p_000045,p_000045_02,2,pending,pending,pending,pending
p_000045,p_000045_03,3,pending,pending,pending,pending
p_000045,p_000045_04,4,pending,pending,pending,pending
p_000045,p_000045_05,5,pending,pending,pending,pending
p_000045,p_000045_06,6,pending,pending,pending,pending
p_000045,p_000045_07,7,pending,pending,pending,pending
p_000045,p_000045_08,8,pending,pending,pending,pending
p_000045,p_000045_09,9,pending,pending,pending,pending
p_000045,p_000045_10,10,pending,pending,pending,pending
p_000046,p_000046_01,1,pending,pending,pending,pending
p_000046,p_000046_02,2,pending,pending,pending,pending
p_000046,p_000046_03,3,pending,pending,pending,pending
p_000046,p_000046_04,4,pending,pending,pending,pending
p_000046,p_000046_05,5,pending,pending,pending,pending
p_000046,p_000046_06,6,pending,pending,pending,pending
p_000046,p_000046_07,7,pending,pending,pending,pending
p_000046,p_000046_08,8,pending,pending,pending,pending
p_000046,p_000046_09,9,pending,pending,pending,pending
p_000046,p_000046_10,10,pending,pending,pending,pending
p_000047,p_000047_01,1,pending,pending,pending,pending
p_000047,p_000047_02,2,pending,pending,pending,pending
p_000047,p_000047_03,3,pending,pending,pending,pending
p_000047,p_000047_04,4,pending,pending,pending,pending
p_000047,p_000047_05,5,pending,pending,pending,pending
p_000047,p_000047_06,6,pending,pending,pending,pending
p_000047,p_000047_07,7,pending,pending,pending,pending
p_000047,p_000047_08,8,pending,pending,pending,pending
p_000047,p_000047_09,9,pending,pending,pending,pending
p_000047,p_000047_10,10,pending,pending,pending,pending
p_000048,p_000048_01,1,pending,pending,pending,pending
p_000048,p_000048_02,2,pending,pending,pending,pending
p_000048,p_000048_03,3,pending,pending,pending,pending
p_000048,p_000048_04,4,pending,pending,pending,pending
p_000048,p_000048_05,5,pending,pending,pending,pending
p_000048,p_000048_06,6,pending,pending,pending,pending
p_000048,p_000048_07,7,pending,pending,pending,pending
p_000048,p_000048_08,8,pending,pending,pending,pending
p_000048,p_000048_09,9,pending,pending,pending,pending
p_000048,p_000048_10,10,pending,pending,pending,pending
p_000049,p_000049_01,1,pending,pending,pending,pending
p_000049,p_000049_02,2,pending,pending,pending,pending
p_000049,p_000049_03,3,pending,pending,pending,pending
p_000049,p_000049_04,4,pending,pending,pending,pending
p_000049,p_000049_05,5,pending,pending,pending,pending
p_000049,p_000049_06,6,pending,pending,pending,pending
p_000049,p_000049_07,7,pending,pending,pending,pending
p_000049,p_000049_08,8,pending,pending,pending,pending
p_000049,p_000049_09,9,pending,pending,pending,pending
p_000049,p_000049_10,10,pending,pending,pending,pending
p_000050,p_000050_01,1,pending,pending,pending,pending
p_000050,p_000050_02,2,pending,pending,pending,pending
p_000050,p_000050_03,3,pending,pending,pending,pending
p_000050,p_000050_04,4,pending,pending,pending,pending
p_000050,p_000050_05,5,pending,pending,pending,pending
p_000050,p_000050_06,6,pending,pending,pending,pending
p_000050,p_000050_07,7,pending,pending,pending,pending
p_000050,p_000050_08,8,pending,pending,pending,pending
p_000050,p_000050_09,9,pending,pending,pending,pending
p_000050,p_000050_10,10,pending,pending,pending,pending
p_000051,p_000051_01,1,pending,pending,pending,pending
p_000051,p_000051_02,2,pending,pending,pending,pending
p_000051,p_000051_03,3,pending,pending,pending,pending
p_000051,p_000051_04,4,pending,pending,pending,pending
p_000051,p_000051_05,5,pending,pending,pending,pending
p_000051,p_000051_06,6,pending,pending,pending,pending
p_000051,p_000051_07,7,pending,pending,pending,pending
p_000051,p_000051_08,8,pending,pending,pending,pending
p_000051,p_000051_09,9,pending,pending,pending,pending
p_000051,p_000051_10,10,pending,pending,pending,pending
p_000052,p_000052_01,1,pending,pending,pending,pending
p_000052,p_000052_02,2,pending,pending,pending,pending
p_000052,p_000052_03,3,pending,pending,pending,pending
p_000052,p_000052_04,4,pending,pending,pending,pending
p_000052,p_000052_05,5,pending,pending,pending,pending
p_000052,p_000052_06,6,pending,pending,pending,pending
p_000052,p_000052_07,7,pending,pending,pending,pending
p_000052,p_000052_08,8,pending,pending,pending,pending
p_000052,p_000052_09,9,pending,pending,pending,pending
p_000052,p_000052_10,10,pending,pending,pending,pending
p_000053,p_000053_01,1,pending,pending,pending,pending
p_000053,p_000053_02,2,pending,pending,pending,pending
p_000053,p_000053_03,3,pending,pending,pending,pending
p_000053,p_000053_04,4,pending,pending,pending,pending
p_000053,p_000053_05,5,pending,pending,pending,pending
p_000053,p_000053_06,6,pending,pending,pending,pending
p_000053,p_000053_07,7,pending,pending,pending,pending
p_000053,p_000053_08,8,pending,pending,pending,pending
p_000053,p_000053_09,9,pending,pending,pending,pending
p_000053,p_000053_10,10,pending,pending,pending,pending
p_000054,p_000054_01,1,pending,pending,pending,pending
p_000054,p_000054_02,2,pending,pending,pending,pending
p_000054,p_000054_03,3,pending,pending,pending,pending
p_000054,p_000054_04,4,pending,pending,pending,pending
p_000054,p_000054_05,5,pending,pending,pending,pending
p_000054,p_000054_06,6,pending,pending,pending,pending
